,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,DewPointcl,Trange,SatT
0,1,2007-05-01,83.0,50.0,67.0,14.0,51.0,56.0,0.0,2.0,0448,1849, ,0.0,0.0,0.0,29.1,29.82,1.7,27,9.2,0,33.0,16.0
2,1,2007-05-02,59.0,42.0,51.0,-3.0,42.0,47.0,14.0,0.0,0447,1850,BR,0.0,0.0,0.0,29.38,30.09,13.0,4,13.4,0,17.0,9.0
4,1,2007-05-03,66.0,46.0,56.0,2.0,40.0,48.0,9.0,0.0,0446,1851, ,0.0,0.0,0.0,29.39,30.12,11.7,7,11.9,0,20.0,16.0
6,1,2007-05-04,66.0,49.0,58.0,4.0,41.0,50.0,7.0,0.0,0444,1852,RA,0.0,0.0,0.1,29.31,30.05,10.4,8,10.8,0,17.0,17.0
8,1,2007-05-05,66.0,53.0,60.0,5.0,38.0,49.0,5.0,0.0,0443,1853, ,0.0,0.0,0.1,29.4,30.1,11.7,7,12.0,0,13.0,22.0
10,1,2007-05-06,68.0,49.0,59.0,4.0,30.0,46.0,6.0,0.0,0442,1855, ,0.0,0.0,0.0,29.57,30.29,14.4,11,15.0,0,19.0,29.0
12,1,2007-05-07,83.0,47.0,65.0,10.0,41.0,54.0,0.0,0.0,0441,1856,RA,0.0,0.0,0.1,29.38,30.12,8.6,18,10.5,0,36.0,24.0
14,1,2007-05-08,82.0,54.0,68.0,12.0,58.0,62.0,0.0,3.0,0439,1857,BR,0.0,0.0,0.0,29.29,30.03,2.7,11,5.8,0,28.0,10.0
16,1,2007-05-09,77.0,61.0,69.0,13.0,59.0,63.0,0.0,4.0,0438,1858,BR HZ,0.0,0.0,0.13,29.21,29.94,3.9,9,6.2,0,16.0,10.0
18,1,2007-05-10,84.0,56.0,70.0,14.0,52.0,60.0,0.0,5.0,0437,1859,BR,0.0,0.0,0.0,29.2,29.92,0.7,17,4.1,0,28.0,18.0
20,1,2007-05-11,70.0,51.0,61.0,4.0,42.0,51.0,4.0,0.0,0436,1860, ,0.0,0.0,0.0,29.33,30.04,11.3,3,12.9,0,19.0,19.0
22,1,2007-05-12,64.0,46.0,55.0,-2.0,36.0,46.0,10.0,0.0,0435,1901, ,0.0,0.0,0.0,29.49,30.2,12.4,3,12.9,0,18.0,19.0
24,1,2007-05-13,69.0,43.0,56.0,-2.0,33.0,46.0,9.0,0.0,0434,1902, ,0.0,0.0,0.0,29.49,30.24,6.6,14,8.1,0,26.0,23.0
26,1,2007-05-14,90.0,56.0,73.0,15.0,47.0,59.0,0.0,8.0,0433,1903, ,0.0,0.0,0.0,29.23,29.97,16.9,21,17.3,0,34.0,26.0
28,1,2007-05-15,80.0,57.0,69.0,11.0,56.0,61.0,0.0,4.0,0432,1904,RA BR,0.0,0.0,0.38,29.13,29.84,8.1,27,12.3,0,23.0,13.0
30,1,2007-05-16,66.0,44.0,55.0,-4.0,43.0,48.0,10.0,0.0,0431,1905,RA BR,0.0,0.0,0.14,29.33,30.03,7.8,36,12.2,0,22.0,12.0
32,1,2007-05-17,62.0,43.0,53.0,-6.0,32.0,43.0,12.0,0.0,0430,1906, ,0.0,0.0,0.0,29.55,30.27,10.5,3,11.3,0,19.0,21.0
34,1,2007-05-18,71.0,42.0,57.0,-3.0,30.0,46.0,8.0,0.0,0429,1907, ,0.0,0.0,0.0,29.53,30.25,5.4,25,7.5,0,29.0,27.0
