Block,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Hour,Week,Month,Year,Day,Station,Tmax,Tmin,Tavg,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS
41,41.95469,-87.800991,9,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,1,0,0,0,0
41,41.95469,-87.800991,9,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
62,41.994991,-87.769279,9,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
79,41.974089,-87.824812,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,1,0,0,0,0
79,41.974089,-87.824812,8,4,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
15,41.9216,-87.666455,8,2,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
25,41.891118,-87.65449100000002,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
11,41.867108,-87.654224,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,1,0,0,0,0
11,41.867108,-87.654224,8,2,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
11,41.896282,-87.655232,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
21,41.919343,-87.694259,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,1,0,0,0,0
22,41.921965,-87.632085,8,2,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,1,0,0,0,0
22,41.921965,-87.632085,8,3,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
22,41.688324,-87.676709,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,1,0,0,0,0
22,41.688324,-87.676709,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
11,41.862292,-87.64886,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
17,41.720848,-87.666014,9,3,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
22,41.731922,-87.677512,8,5,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
22,41.731922,-87.677512,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,1,0,0,0,0,0
53,41.891126,-87.61156,5,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,1,0,0,0,0
53,41.891126,-87.61156,5,2,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
65,41.999129,-87.795585,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,1,0,0,0,0
75,42.01743,-87.68776899999997,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,1,0,0,0,0
15,41.907645,-87.760886,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
89,41.732984,-87.649642,8,1,0,0,22,5,2007,29,1,88.0,60.0,74.0,0,0,1,0,0,0
41,41.95469,-87.800991,9,3,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
41,41.95469,-87.800991,9,5,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
41,41.95469,-87.800991,9,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,1,0,0,0,0,0
79,41.974089,-87.824812,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
79,41.974089,-87.824812,8,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
15,41.9216,-87.666455,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
15,41.9216,-87.666455,8,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
15,41.9216,-87.666455,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,1,0,0,0,0,0
25,41.891118,-87.65449100000002,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
11,41.867108,-87.654224,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
11,41.867108,-87.654224,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
11,41.867108,-87.654224,8,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,1,0,0,0,0,0
11,41.896282,-87.655232,8,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
21,41.919343,-87.694259,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
21,41.919343,-87.694259,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
22,41.921965,-87.632085,8,3,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
22,41.688324,-87.676709,8,4,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
17,41.720848,-87.666014,9,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
22,41.731922,-87.677512,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
22,41.731922,-87.677512,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
